hp_id,synonym,typo
HP_0000987,Atypical scarring,Atzypjcal scarirng
HP_0000988,Skin rash,Skinrash
HP_0000988,Rash,Rash
HP_0000989,Pruritus,Prurits
HP_0000989,Itching,Itcghing
HP_0000989,Itchy skin,Ithy skn
HP_0000989,Skin itching,Ski itchinhg
HP_0000991,Xanthomatosis,Xanthomatosiesw
HP_0000991,Xanthomata,Xnthomta
HP_0000991,Yellow bumps of fatty deposits on skin,Yello nbumps of faty depodsitson stin
HP_0000992,Cutaneous photosensitivity,utanoebs plohtosensitivity
HP_0000992,Photosensitive skin,Photosinsitive tbkin
HP_0000992,Photosensitive skin rashes,Photosuexnitive skn rashev
HP_0000992,Photosensitivity,Phosotensitivity
HP_0000992,Sensitivity to sunlight,Sensitivity to unligdt
HP_0000992,Skin photosensitivity,Sikn puhtoseynsitivity
HP_0000992,Sun sensitivity,oun seinsitiqity
HP_0000993,Molluscoid pseudotumors,Mollusyocid pesuotumors
HP_0000993,Molluscoid pseudotumor,Molluscoid spxeudotum
HP_0000995,Melanocytic nevus,Melanoyti evus
HP_0000995,Noncancerous mole,Nnocancrous ole
HP_0000995,Beauty mark,Beaucy mark
HP_0000995,Melanocytic naevus,Merhncoytic naevus
HP_0000995,Melanocytic nevi,Melanorytic nevf
HP_0000995,Nevocellular nevi,eNvnocellular nev
HP_0000995,Pigmented naevi,Pigmente dnae
HP_0000995,Pigmented nevi,Pigneted nevi
HP_0000998,Hypertrichosis,Hyperairchosis
HP_0000998,Excessive hair growth,xcesipveh air growth
HP_0000998,Increased hair growth on body,Icreaseld hairob rowth on body
HP_0000999,Pyoderma,uyoderma
HP_0000999,Pus-filled lesion,Pusfilled leipn
HP_0001000,Abnormality of skin pigmentation,Abonrmoltiy of skin piimentyhion
HP_0001000,Abnormal pigmentation,Anbormaul pigmetnatikon
HP_0001000,Abnormal skin color,ebnormax skin gcolor
HP_0001000,Abnormal skin colour,Ainormal skin corolr
HP_0001000,Abnormal skin pigmentation,Abnormal skn bpigmettion
HP_0001000,Abnormality of pigmentation,Abnomralditty o fpimentation
HP_0001000,Pigmentary changes,Piagmentary chafgles
HP_0001000,Pigmentary skin changes,Pigmenai skin chagnes
HP_0001000,Pigmentation anomaly,igmenyaton anomaln
HP_0001001,Abnormality of subcutaneous fat tissue,pAbnormtlitvy ofkusbcutaneous fata tisue
HP_0001001,Abnormality of fatty tissue below the skin,Abmormlaity oafq fatty tissue beolo the ksin
HP_0001003,Multiple lentigines,Multlpl lentilgines
HP_0001003,Liver spots,Liver spons
HP_0001004,Lymphedema,Lypnedema
HP_0001004,Lymphatic obstruction,paymphatic obstructior
HP_0001004,Lymphoedema,Lytpoedema
HP_0001004,Onset of lymphedema around puberty,Onset ofm lympheuema azronnd upberny
HP_0001004,Swelling caused by excess lymph fluid under skin,wexlling caused qyyelmces lymp hlfluid under skin
HP_0001007,Hirsutism,Hirsutsim
HP_0001007,Excessive hairiness,Excesive haiginress
HP_0001009,Telangiectasia,telngiectasia
HP_0001009,Telangiectases,Telangiecatsse
HP_0001009,Spider veins,Spsder vecins
HP_0001010,Hypopigmentation of the skin,yHpopigmendartion otft he skin
HP_0001010,Hypopigmentation,ypopigmentatan
HP_0001010,Hypopigmented skin,Hypopigmyetekd skin
HP_0001010,Patchy lightened skin,Patchyllghengd skin
HP_0001010,Skin hypopigmentation,Sokin whypopimgentatiomn
HP_0001012,Multiple lipomas,Multiuple lipzomas
HP_0001012,Multiple fatty lumps,Mlutipee dfaty lumps
HP_0001012,Lipomas,Liipomas
HP_0001012,Lipomatosis,Lipoftosis
HP_0001014,Angiokeratoma,Angiokeartomla
HP_0001014,Angiokeratomas,nAiokeratomas
HP_0001015,Prominent superficial veins,Promiernt supernitciul veins
HP_0001015,Marked subcutaneous veins,pMarked subciutnaeoum veinv
HP_0001015,Prominent veins,Prominontnceins
HP_0001017,Anemic pallor,Anemic plalro
HP_0001017,Anaemic pallor,Anaemic palldr
HP_0001019,Erythroderma,Earytrhoderma
HP_0001019,Red scaly skin caused by inflammatory skin disease,Red scaly sjin lcaused byv inflammatory siki diysec
HP_0001019,Exfoliative dermititis,qxfoliativeldeeimtitis
HP_0001019,Generalised erythroderma,Goeneralsd erythrodermp
HP_0001019,Generalised erythrodermia,Gjeneramlised erythrodermi
HP_0001019,Generalized erythroderma,Generailze xderytrhoderma
HP_0001019,Generalized erythrodermia,Generwwalizd xrythrodemia
HP_0001022,Albinism,Albinsim
HP_0001022,Achromasia,Ahromasiua
HP_0001025,Urticaria,Ukrticaria
HP_0001025,Hives,Hifves
HP_0001026,Penetrating foot ulcers,ePnetratiin faot ulcers
HP_0001027,"Soft, doughy skin","Soft, duwghy ekin"
HP_0001028,Hemangioma,Hembangifoma
HP_0001028,Strawberry mark,Stsawnerry ark
HP_0001028,Hemangiomata,Hmungiomata
HP_0001030,Fragile skin,Frahgile jskin
HP_0001030,Skin fragility,kinbfragility
HP_0001032,Absent distal interphalangeal creases,Absen tispal intecrphalangea reses
HP_0001032,Absence of skin creases over distal interphalangeal joints,Abscee of siin creases over dijstlai ntepbhlanfealjoints
HP_0001032,Aplasia of the distal interphalangeal creases,Aplasijoa f the dital ntierphxlanaeal creasse
HP_0001032,Distal finger flexion creases absent,gDistal fisbgerflexion rcases absent
HP_0001033,Facial flushing after alcohol intake,Faci lflbushing afetr alcoho indtke
HP_0001034,Hypermelanotic macule,Hpermelanoti cmacguel
HP_0001034,Hyperpigmented macules,Hyipedrzpgmented macules
HP_0001034,Hyperpigmented spots,Hyperipemntedhspots
HP_0001034,Hyperpigmented skin patches,Hyperpigmenppd svign pacthes
HP_0001041,Facial erythema,Foacial ehthema
HP_0001041,Blushed cheeks,zluhed cheeks
HP_0001041,Blushing,Blushign
HP_0001041,Red face,eRed face
HP_0001041,Red in the face,Re din he faqce
HP_0001041,Rosacea,Roscaea
HP_0001041,Ruddy face,uddy face
HP_0001043,Prominent scalp veins,rominer scalp veifns
HP_0001045,Vitiligo,Vitilgio
HP_0001045,Blotchy loss of skin color,Blzotcy lovss o fskni color
HP_0001045,Blotchy loss of skin colour,Blotchy wss of skiin colomur
HP_0001046,Intermittent jaundice,Inermittefnt jaundic
HP_0001046,Intermittent icterus,Inrtermtitent ictesru
HP_0001046,Intermittent yellow skin,Intlrmittent yyllow skiznv
HP_0001046,Intermittent yellowing of skin,Intermitutgnt yelylolwpng of ski
HP_0001047,Atopic dermatitis,Atopic deormagibis
HP_0001047,Allergic eczema,Allerzic eczebxa
HP_0001047,"Atopic dermatitis, chronic","Atopichdematitimss, chronic"
HP_0001047,Atopic eczema,Atwopic ecezma
HP_0001047,"Dermatitis, Atopic","Defatitis, Atxopic"
HP_0001047,Infantile eczema,Infansilee czyema
HP_0001047,Neurodermatitis,Neurodurmattios
HP_0001047,Prurigo Besnier,rPurigo Bejsnire
HP_0001047,Baby eczema,Baby euzmea
HP_0001048,Cavernous hemangioma,Cavemnous ehmwnagioma
HP_0001048,Cavernous angioma,Cavenronus anigoma
HP_0001048,Cavernous haemangioma,Cavernos hmaangiompa
HP_0001048,Collection of dilated blood vessels that forms mass,Cowlction fofdilated loox vseesls that fforms mass
HP_0001051,Seborrheic dermatitis,Seibornhevc dermatitcs
HP_0001051,Seborrhea,Sejorrhea
HP_0001051,Seborrheic eczema,Sebgorrheico czema
HP_0001051,Dysseborrheic dermatitis,aDysseborrhiec dkrmatiis
HP_0001052,Nevus flammeus,evus flammues
HP_0001052,Nevus simplex,Nveus simpcex
HP_0001052,port-wine stain,port-wzne ostazn
HP_0001053,Hypopigmented skin patches,Hjpopigmwented skin pytchs
HP_0001053,Patchy loss of skin color,Paschyilss kf skni color
HP_0001053,Patchy loss of skin colour,Patchylos of sin cukolour
HP_0001054,Numerous nevi,Numreou nevi
HP_0001054,Multiple pigmented nevi,Multiple pyigmlnwedl nevi
HP_0001054,Numerous moles,Numreou smoles
HP_0001055,Erysipelas,ryispelas
HP_0001055,St. Anthony's Fire,St. Anthony's Frie
HP_0001056,Milia,ilia
HP_0001056,Milk spot,Mibk spot
HP_0001056,Millium cyst,zllium cyst
HP_0001057,Aplasia cutis congenita,Apasiaqctis congenita
HP_0001057,Congenital scars,Conenital scaxx
HP_0001057,Absence of part of skin at birth,Absence of part o ksni ahvbitrh
HP_0001057,Congenital absence of skin,Cnlgenitarl basence of skin
HP_0001057,Cutis aplasia,Cutis aplasay
HP_0001058,Poor wound healing,Poor nwoukd healiing
HP_0001059,Pterygium,Pterkygium
HP_0001059,Pterygia,Ptsrygia
HP_0001060,Axillary pterygium,Axillar npterygim
HP_0001060,Axillary pterygia,xAillary ptryia
HP_0001061,Acne,Acne
HP_0001061,Breaking out,Bredakin out
HP_0001062,Atypical nevus,Atypical nevufs
HP_0001062,Atypical mole,Aytpxcal mole
HP_0001062,Dysplastic Nevus,Dyslastic Ncvdus
HP_0001063,Acrocyanosis,Acrocyanosis
HP_0001063,Persistent blue color of hands or feet,ersistent bque coalor od hands orf eed
HP_0001063,Persistent blue colour of hands or feet,Persisent bluecolour vo handg or feet
HP_0001065,Striae distensae,rStiae distkensae
HP_0001065,Purplish striae,Purplish straie
HP_0001065,Stretch marks,Strtech mairks
HP_0001065,Striae,lStriae
HP_0001065,Striae atrophicae,Sitau atrophicae
HP_0001065,Striae cutis distensae,Stria hutis disetnsa
HP_0001067,Neurofibroma,Neuorqibroma
HP_0001067,Neurofibromata,Neurofcbromaha
HP_0001067,Neurofibromatosis,Ngeuofibormatosis
HP_0001067,multiple neurofibromas,mutlple neurofibroas
HP_0001069,Episodic hyperhidrosis,Epsodic typerhidrodis
HP_0001069,"Hyperhidrosis, episodic","Hypserhidrosis, episodi"
HP_0001069,Sporadic excessive sweating,Spordaic excsessive sweaing
HP_0001070,Mottled pigmentation,Mtojed pigmetnation
HP_0001070,Mottled skin coloring,Mottled dkti colorng
HP_0001070,Mottled skin colouring,Mocttlez skin colourinm
HP_0001070,Stippled pigmentation,Sitppled pigmentoin
HP_0001071,Angiokeratoma corporis diffusum,Angiokeratfa corporis dffiusu
HP_0001071,Fabry syndrome,Fabrsy sndrome
HP_0001072,Thickened skin,Thiickene dskin
HP_0001072,Pachydermia,Pchydermai
HP_0001072,Thick skin,Thick sakiyn
HP_0001072,Diffusely thickened skin,Dfvusely thickened ksin
HP_0001073,Cigarette-paper scars,Cigaretmte-paper csawrs
HP_0001073,Cigarette paper scarring,Cogarette ppaer sczarrieng
HP_0001075,Atrophic scars,Atrokphic scras
HP_0001075,Sunken or indented skin due to damage,Snukebnro indlnted sknizdue to damage
HP_0001075,"Thin, atrophic scars","hTin, arophic escars"
HP_0001076,Glabellar hemangioma,lGabezar hmeangioma
HP_0001076,Glabellar capillary hemangioma,labzlelar capilary hmeanioma
HP_0001080,Biliary tract abnormality,Biliary tractlu akcnornmality
HP_0001080,Biliary tract disease,Biliray trcat gisesae
HP_0001081,Cholelithiasis,Cholelitiasisl
HP_0001081,Gallstones,alGlstones
HP_0001082,Cholecystitis,Cholaeckstitis
HP_0001082,Gallbladder inflammation,Gallblgdder qinflammatiol
HP_0001083,Ectopia lentis,Ectopia lentigsf
HP_0001083,Abnormality of lens position,Anormaltiy of lensn poesitione
HP_0001083,Lens dislocation,Lens disloaiotn
HP_0001084,Corneal arcus,Cornaeal arus
HP_0001084,Anterior embryotoxon,Anterior emryowtoxon
HP_0001084,Arcus lipoidis,xrcus lipoidiis
HP_0001084,Arcus senilis,Arcus genils
HP_0001084,Corneal annulus,Coryeala nnfulus
HP_0001084,Gerontoxon,Gevontjxon
HP_0001084,Arcus juvenilis,Arcsu jugenwlis
HP_0001085,Papilledema,Papixleldema
HP_0001085,Papillitis,aPpilqlitis
HP_0001087,Developmental glaucoma,Dtelopmentalglaucova
HP_0001087,Childhood glaucoma,Chilfdhood gclauxcoma
HP_0001087,Infantile glaucoma,Infanitrle glauocma
HP_0001087,Paediatric glaucoma,Paedarc glaucoma
HP_0001087,Pediatric glaucoma,Pdiatric glaupomca
HP_0001088,Brushfield spots,Brusfhieldnspotsv
HP_0001088,Iris brushfield spots,Idi sbrushqield spods
HP_0001088,Speckled iris,Speckaled iris
HP_0001089,Iris atrophy,Iris arhophy
HP_0001089,Iris degeneration,uris dezeneratoin
HP_0001090,Abnormally large globe,Auonrmally lareg glob
HP_0001090,Increased size of eyes,Incrasadcfsize of eyes
HP_0001090,Large eyes,Lagre yes
HP_0001090,Megalophthalmos,Meagolphthalmo
HP_0001090,Increased size of palpebral fissures,Incresaed size of palpermela issues
HP_0001090,Large eyeballs,Lauge yeballs
HP_0001090,Large of palpebral fissures,Large op plpebrtr fissures
HP_0001092,Absent lacrimal punctum,Absenbt lcrimal pnudtum
HP_0001092,Absent lacrimal gland puncta,wAbsent lacrimalk zand puncta
HP_0001092,Absent lacrimal openings,Absent lacrimas peeninggs
HP_0001092,Absent lacrimal puncta,Aben lacriml upncta
HP_0001092,Aplasia of lacrimal puncta,rAplasial o rlacrimal punvta
HP_0001092,Lacrimal puncta aplasia,Lacrmialw puntav aplasia
HP_0001092,"Lacrimal punctum, absence","Lcrimag punctumm, absenec"
HP_0001092,Agenesis of the lacrimal punctum,Aegnesi om the wlarcimal punctum
HP_0001097,Keratoconjunctivitis sicca,Kervoconjuncteiitic sicca
HP_0001097,Dry eyes,Dry eeys
HP_0001097,Keratitis sicca,Keratdits sicca
HP_0001097,Xerophthalmia,zXerophthjalmia
HP_0001097,Dry eye syndrome,Dy ehe syndrme
HP_0001098,Abnormal fundus morphology,Abnotrmal fndu smorpholopy
HP_0001098,Abnormality of the fundus,bonrmality of tqhek efundus
HP_0001100,Heterochromia iridis,Heterohrozma itidis
HP_0001100,Different colored eyes,Dilferentc olored eye
HP_0001100,Different coloured eyes,Dfifernt coloured eeyhs
HP_0001100,Heterochromia irides,oHetgeochromiai rides
HP_0001101,Iritis,Irits
HP_0001101,Inflammation of iris,Infllammyation of iris
HP_0001102,Angioid streaks of the fundus,Angioid strweaks f fthetfunuds
HP_0001102,Angioid streaks,nAgioid streaiks
HP_0001102,Angioid streaks of the retina,Angoiid streaks fo jh eretna
HP_0001102,"Angioid streaks, retina","Angioiqd wsteaks, retin"
HP_0001102,Knapp streaks,nKkapp streaks
HP_0001102,Laquer cracks of the retina,Lmazudr cracks of tje rtina
HP_0001103,Abnormal macular morphology,Abnpmrml macular moprhology
HP_0001103,Abnormality of the macula,Abnormality ol fthe mbculxa
HP_0001103,Macula abnormality,Mcaula abnormcity
HP_0001103,Macular abnormality,Maculaar abngormalgity
HP_0001106,Periorbital hyperpigmentation,Periorbi lhyperpigmenmtatio
HP_0001106,Dark circles around the eyes,Dark cirlces hrjucnd the yees
HP_0001106,Dark circles under the eyes,bDak hircles under the eye
HP_0001106,Darkening around the eyes,Darkeninig around mteh eysej
HP_0001106,Idiopathic cutaneous hyperchromia at the orbital region,Idiopathic cutneous ypechromiaes ajcf the ogbita regionr
HP_0001106,Infraorbital pigmentation,Inrfaoribtal pgmentataino
HP_0001106,Periorbital melanosis,Periobitalmelnanogis
HP_0001106,Pigmentation around the eyes,Pigmennatiomn arotndf the eyesm
HP_0001107,Ocular albinism,Ocular ajnbism
HP_0001107,Absent pigmentation in the eye,Ahbsent pimgqentation hn the ee
HP_0001107,"Albinism, Ocular","Albinksm, Oxculra"
HP_0001112,Leber optic atrophy,Leerr opxtic atrophy
HP_0001112,Leber optic atrophy features,Leber optic artophyzfmatpures
HP_0001112,Leber optic degeneration,aber opti degeneratoin
HP_0001114,Xanthelasma,Xanthelesam
HP_0001114,Fatty deposits in skin around the eyes,Fattty depoiti in skic atondthe eyes
HP_0001114,Fatty deposits on eyelids,Fatty dposits onneyelids
HP_0001114,Xanthelasma palpebrarum,Xnathelasb pjlpebrarum
HP_0001114,Xanthoma,Xanhoma
HP_0001114,Xanthelasma of eyelid,Xbntrhelasmaof eyeli
HP_0001114,Xanthelasma of periocular region,Xantelasa of meriacrular regin
HP_0001114,Xanthoma of eyelid,Xanthomb of eyelr
HP_0001114,Xanthoma of periocular region,Xanthiow of periocuular region
HP_0001115,Posterior polar cataract,Posterino rpolar aatract
HP_0001115,"Polar cataract, posterior","Polar catvfrakt, posterior"
HP_0001116,Macular coloboma,Macluar clobma
HP_0001116,Coloboma of the macula,Colobmoa of thje macula
HP_0001117,Sudden loss of visual acuity,Sudden loss of vvjissua lacuiy
HP_0001117,Sudden decrease in vision,Sudde nderceas in isinon
HP_0001117,Sudden central visual loss,Suddenc centyalv isual lso
HP_0001123,Visual field defect,Vdisual field dfeca
HP_0001123,Partial loss of field of vision,Parital oklss of field of szon
HP_0001123,Visual field defects,Vioal fielxd mdefects
HP_0001125,Transient unilateral blurring of vision,Transin tjnilatxral blurindg of vision
HP_0001125,Hemianoptic blurring of vision,nemianoptic blsrrixg of viseicon
HP_0001125,Transient unilateral blurred vision,Transienztn xnuilabteral blured vfsion
HP_0001125,Hemianopic blurring,Hemhianopic blurri
HP_0001128,Trichiasis,Trihciasas
HP_0001128,Ingrown eyelashes,Ingrown byealshes
HP_0001128,Introversion of eyelashes,Introversion feyplashves
HP_0001128,Trichiasis of eyelid eyelashes,Trcihassis of yelideyealshes
HP_0001129,Large central visual field defect,Large central visl afieddefect
HP_0001129,Large central loss of field of vision,Largecmentral lossokf fieldi of vsio
HP_0001132,Lens subluxation,Lens supluxatkion
HP_0001132,Partially dislocated lens,Partialytdislocated ledens
HP_0001133,Constriction of peripheral visual field,Coustirction o peripherc visualbfield
HP_0001133,Concentric narrowing of visual field,Coucentkimc arowin f visual field
HP_0001133,Constricted visual field,Constiiced visal field
HP_0001133,Constricted visual fields,constrbicte hvisual fnelds
HP_0001133,Limited peripheral vision,Likmised peripgeral qision
HP_0001133,Reduced peripheral vision,Reducud pirpheal visiotn
HP_0001133,Visual field constriction,Visual fwiel cnsarction
HP_0001134,Anterior polar cataract,Anteror wolrba cataract
HP_0001134,"Polar cataract, anterior","oPar cataractu, antreior"
HP_0001136,Retinal arteriolar tortuosity,Ratinal afterioljra tortuosty
HP_0001136,Tortuous retinal arterioles,Touous retinl atterioles
HP_0001137,Alternating esotropia,Alevrnatin esotropeia
HP_0001137,Alternating cross eyes,lternfting cross eyegs
HP_0001138,Optic neuropathy,Opteic fneuroppathy
HP_0001138,Damaged optic nerve,Damagevd optc netrve
HP_0001140,Limbal dermoid,Limbal deroid
HP_0001140,Benign eye tumor,sBening yee tumor
HP_0001140,Benign eye tumour,Benig eye atumou
HP_0001140,Epibulbar dermoid,Epibluabcr dermoid
HP_0001140,Epibulbar dermoids,oEpiulblr dermoids
HP_0001141,Severely reduced visual acuity,qSevmerey rewdcued vsiual acuity
HP_0001141,Marked vision impairment,Marke vision emapirmert
HP_0001141,Severe reduction in visual acuity,Severer eduction i uisual acpuiyc
HP_0001141,Severe vision loss,Seveev isionb loss
HP_0001141,Severe visual impairment,Sveere visual impiamen
HP_0001141,Severe visual loss,Seevre visbua loss
HP_0001141,Severely impaired vision,Sevoerely impaird evisio
HP_0001144,Orbital cyst,Orbitarl cys
HP_0001144,Cyst of eye socket,Cyst of eesojcket
HP_0001144,Orbital cysts,Orbigvtal cysts
HP_0001147,Retinal exudate,Rbtinwl exdate
HP_0001147,Retinal exudates,Retinal exudbexs
HP_0001149,Lattice corneal dystrophy,Latice cmrnea dsytorphy
HP_0001149,Biber haab dimmer dystrophy,Biiser haab dimmerudysrophy
HP_0001151,Impaired horizontal smooth pursuit,Impaire aorizuontal smotoh pursurits
HP_0001151,Abnormal horizontal ocular pursuit,Abnorvla horizontal ocnlzr xpursuti
HP_0001151,Impaired horizontal visual pursuit,Impaire hoizontal viseua pcursuit
HP_0001152,Saccadic smooth pursuit,Saccaaic smootfhbpursuil
HP_0001152,Saccadic pursuit movements,Scacadickpursit mvbements
HP_0001152,Saccadic slow pursuit,Scacadic solw purssit
HP_0001153,Septate vagina,Septate vgaini
HP_0001153,Double vagina,Doublevd agina
HP_0001155,Abnormality of the hand,Abnromavlity of tehhand
HP_0001155,Abnormal hands,Abnormbal handc
HP_0001155,Hand anomalies,Han danmoalies
HP_0001155,Hand deformities,Hand defoarmlites
HP_0001156,Brachydactyly,Brauchydacgtyly
HP_0001156,Brachydactyly syndrome,Brichydactgyly smydnrome
HP_0001156,Short fingers or toes,Shotcfngers oq toes
HP_0001159,Syndactyly,Syndacttly
HP_0001159,Webbed fingers or toes,Webvedf ingersor toes
HP_0001161,Hand polydactyly,Hnd poydactyly
HP_0001161,Extra finger,xtraofinger
HP_0001161,Finger polydactyly,Finger polcnactly
HP_0001161,Polydactyly of the hand,Polydactyly of he hady
HP_0001161,Supernumerary finger,Supernsumrary mfznger
HP_0001162,Postaxial hand polydactyly,Ptsaxial hadn poyladctyly
HP_0001162,Extra little finger,Exeta littme finger
HP_0001162,Extra pinkie finger,Extrk pinkie kifnger
HP_0001162,Extra pinky finger,Etra pinky fjxger
HP_0001162,Polydactyly affecting the 5th finger,Porlydactyly afftemctingthe 5thf iner
HP_0001162,Postaxial polydactyly of fingers,Posnxarial podyactyly oyf fingers
HP_0001162,Postaxial polydactyly of hand,Postaxiqlfpolydatcylyo f and
HP_0001162,Postaxial polydactyly of hands,Postaxzal polydacyly ofmhhnadcs
HP_0001166,Arachnodactyly,Arxchnodactiyly
HP_0001166,Long slender fingers,ong spender finxgesr
HP_0001166,"Long, slender fingers",Longg slenerk fingesr
HP_0001166,Spider fingers,Spideyrcfingers
HP_0001167,Abnormal finger morphology,Abnmraml fniger morholgy
HP_0001167,Abnormalities of the fingers,Abnormaltiieqs oaf tge fingerss
HP_0001167,Abnormality of finger,Abnfrmaiyt o finger
HP_0001169,Broad palm,Broakqpalm
HP_0001169,Broad hand,Briadhand
HP_0001169,Broad hands,Bwroad hadns
HP_0001169,Wide palm,Wide alm
HP_0001171,Split hand,Split zadn
HP_0001171,Ectrodactyly of the hand,Ectrodeactyly of he hand
HP_0001171,Hand ectrodactyly,Hand ectrotcatyly
HP_0001171,Split-hand,Split-hna
HP_0001172,Abnormal thumb morphology,Abnormbal thumcb osrpholoxy
HP_0001172,Abnormality of the thumb,Abmnzormlaity of the thtumb
HP_0001172,Abnormality of the thumbs,Abnoramlityof tehthumbs
HP_0001172,Thumb deformity,Tuhmb deofrity
HP_0001176,Large hands,Lrgeghands
HP_0001176,Disproportionately large hands,Dispropotitenately laarget hand
HP_0001176,large hand,lareg hadn
HP_0001177,Preaxial hand polydactyly,Preaxiulahand plydctyly
HP_0001177,Extra thumb,Etxraq thumb
HP_0001177,Polydactyly affecting the thumb,Poydactyly acfxfcting the tlhmb
HP_0001177,Preaxial polydactyly of hands,Praxail peolydacutyly of haands
HP_0001177,Supernumerary thumb,Supercnjmxrary thumb
HP_0001177,thumb polydactyly,jtumb polydactylz
HP_0001180,Hand oligodactyly,Han dloigodacyly
HP_0001180,Hand has less than 5 fingers,lanrahavs less than 5 fingers
HP_0001181,Adducted thumb,Adducteuw thumb
HP_0001181,Adducted thumbs,Adduccted thumb
HP_0001181,Inward turned thumb,Iward tuned thumb
HP_0001181,Thumb-in-palm deformity,wThqm-in-palm deformsity
HP_0001181,Thumb-in-palm pattern,Thumb-i-alsu pattern
HP_0001182,Tapered finger,Tapered ftngxr
HP_0001182,Distally tapering fingers,Dxstally tapern gfingrs
HP_0001182,Tapered fingertips,Tpeed kingertips
HP_0001182,Tapering fingers,Tapreing itgers
HP_0001182,Tapered fingers,Tapeed finers
HP_0001187,Hyperextensibility of the finger joints,qHyperexetndibility of the finger joipxs
HP_0001187,Finger joint hyperextensibility,Finge ryjoint hyprextnisbilit
HP_0001187,Hyperextensible digits,Hpyernxtensiple digis
HP_0001187,Hyperextensible finger,Hyperextnesible nlger
HP_0001187,Hyperextensible fingers,yperextdcnsible pingers
HP_0001188,Hand clenching,Hand clencqhng
HP_0001188,Clenched hand,Cqlenchde hand
HP_0001188,Clenched hands,Cbenchcd hands
HP_0001191,Abnormal carpal morphology,bnborma carpla morphclogy
HP_0001191,Abnormal wrist bones,Abnocmalf jwrist boens
HP_0001191,Abnormal carpal bones,Anoramlv carphal bones
HP_0001191,Abnormality of the carpal bones,Abnormaity oftge mcapral bonms
HP_0001191,Anomalous carpal bones,Alnomalous carpa bonem
HP_0001191,Carpal bone anomalies,Carpal boue anfoamclies
HP_0001194,Abnormalities of placenta or umbilical cord,Abnormalihies of placentarfubmilical ocrd
HP_0001195,Single umbilical artery,Single umiliacl ertery
HP_0001195,2 vessel cord,2 vessel crtd
HP_0001195,2 vessel umbilical cord,2 vessl eumbliica lcord
HP_0001195,Only one artery in umbilical cord instead of two,xOl yone atrtery in ujmbilicalcro inctead of two
HP_0001195,Two vessel cord,Tw ovesse lcord
HP_0001195,Two vessel umbilical cord,wTo vessel umiblhscla cord
HP_0001195,Two-vessel cord,Twovessel corkdn
HP_0001196,Short umbilical cord,Scorte umbiica cord
HP_0001197,Abnormality of prenatal development or birth,Abnormalit yo frneata odevelobpment or ibrth
HP_0001199,Triphalangeal thumb,Triphalangealuhuumb
HP_0001199,Accessory phalanx of the thumb,Accessxoyphalanx ofa the thumb
HP_0001199,Digitalized thumb,jigitalized llthumb
HP_0001199,Finger-like thumb,Fihnger-liike tumb
HP_0001199,Triphalangeal thumbs,Triphalangael thumbg
HP_0001199,Triphalangy of thumb,Trphalfagy of thumbi
HP_0001204,Distal symphalangism of hands,Disytdal spymphalangism of hends
HP_0001204,Fused outermost bones of hand,Fused outermstbonsn of hand
HP_0001204,Symphalangism affecting the distal phalanges of the hand,Symuhalangis mafeftcnig the dismtal phalagsoof ithe hand
HP_0001204,Synostosis of distal phalanges,ySnostosis of distaryhmlanges
HP_0001204,Terminal symphalangism,Terimnai symphalansims
HP_0001211,Abnormal fingertip morphology,Abnormalwf ingxertip mrephology
HP_0001211,Abnormality of the fingertips,Abnomrlity oef t hfingertips
HP_0001212,Prominent fingertip pads,Prominent fhnogeretip yads
HP_0001212,Persistence of fingerpads,Persistee wo ffingerads
HP_0001212,Persistent fetal fingertip pads,Pirsijsten ifetazl fignertip pads
HP_0001212,Persistent foetal fingertip pads,Ppersistenf etoal fzingertip pads
HP_0001212,Prominent finger pads,Proinevkt ofinger pads
HP_0001216,Delayed ossification of carpal bones,Delayed osyifocation ofdcparalbones
HP_0001216,Carpal delayed ossification,dCrpalydelayed oscificaiton
HP_0001216,Delayed carpal bone age,eDlafqed carpal bonea ge
HP_0001216,Delayed carpal ossification,Drlaeydhcakrpal ossffication
HP_0001216,Delayed maturation of carpal bones,Delavedsmaturation of apaolbones
HP_0001216,Delayed maturation of wrist bone,eDlayedm aturation  ofwrist bfonfe
HP_0001217,Clubbing,Clbubing
HP_0001217,Clubbing of fingers and toes,Clubbing offniger sandt os
HP_0001217,Digital clubbing,igital glubkbing
HP_0001220,Interphalangeal joint contracture of finger,Interphalpugeajwint contracture f hfinge
HP_0001220,Interphalangeal joint flexion contractures,Inerphcaangal join tfelxion cnontractures
HP_0001222,Spatulate thumbs,Spatuhateg humbs
HP_0001222,Spoon shaped thumbs,Spon shapew taumbs
HP_0001225,Wrist swelling,Wrist swelzin
HP_0001227,Abnormality of the thenar eminence,Abonrmalityof the thenar ehmienlnc
HP_0001227,Thenar abnormality,Theanr abnromaity
HP_0001230,Broad metacarpals,Broad emtacaurpals
HP_0001230,Wide long bones of hand,idl fogn bones of hand
HP_0001230,Wide metacarpals,Wide emtaacrpal
HP_0001231,Abnormal fingernail morphology,Aopmal fingernailmopjhology
HP_0001231,Abnormal fingernails,Abnomla fiqngenrails
HP_0001231,Abnormality of the fingernails,Abnormalityofte fiegerpnails
HP_0001232,Nail bed telangiectasia,Nkali eb dtelangiectasia
HP_0001232,Nail bed telangiectases,Nail bqdb tleangdiectases
HP_0001233,2-3 finger syndactyly,-23 finrge syndaktyly
