synonym,name,hp_id
Increased bone density of the ulna,Osteosclerosis of the ulna,HP_0003991
Ulnar bone sclerosis,Osteosclerosis of the ulna,HP_0003991
Hardening of the ulna bone,Osteosclerosis of the ulna,HP_0003991
Ulna osteosclerosis,Osteosclerosis of the ulna,HP_0003991
Liver vasculature abnormality,Abnormality of the hepatic vasculature,HP_0006707
Hepatic blood vessel irregularity,Abnormality of the hepatic vasculature,HP_0006707
Abnormal liver blood vessels,Abnormality of the hepatic vasculature,HP_0006707
Irregularity of the liver vasculature,Abnormality of the hepatic vasculature,HP_0006707
Dysfunction of hepatic blood vessels,Abnormality of the hepatic vasculature,HP_0006707
Intrinsic hand muscle debility,Weakness of the intrinsic hand muscles,HP_0009005
Impaired hand muscle strength,Weakness of the intrinsic hand muscles,HP_0009005
Weakness in hand's intrinsic muscles,Weakness of the intrinsic hand muscles,HP_0009005
Intrinsic hand muscle weakness,Weakness of the intrinsic hand muscles,HP_0009005
Hand muscle strength deficiency,Weakness of the intrinsic hand muscles,HP_0009005
Irregularity of the epiphysis of the second metacarpal,Abnormality of the epiphysis of the 2nd metacarpal,HP_0010220
Anomaly of the 2nd metacarpal epiphysis,Abnormality of the epiphysis of the 2nd metacarpal,HP_0010220
Deformity of the epiphysis of the second metacarpal,Abnormality of the epiphysis of the 2nd metacarpal,HP_0010220
Aberration of the 2nd metacarpal's epiphysis,Abnormality of the epiphysis of the 2nd metacarpal,HP_0010220
Unusual condition of the epiphysis of the 2nd metacarpal,Abnormality of the epiphysis of the 2nd metacarpal,HP_0010220
Spontaneous abortion,Miscarriage,HP_0005268
Pregnancy loss,Miscarriage,HP_0005268
Early pregnancy loss,Miscarriage,HP_0005268
Fetal loss,Miscarriage,HP_0005268
Pregnancy failure,Miscarriage,HP_0005268
Lambdoid suture craniosynostosis,Lambdoidal craniosynostosis,HP_0004443
Lambdoid synostosis,Lambdoidal craniosynostosis,HP_0004443
Posterior cranial suture synostosis,Lambdoidal craniosynostosis,HP_0004443
Lambdoidal suture fusion,Lambdoidal craniosynostosis,HP_0004443
Posterior skull suture fusion,Lambdoidal craniosynostosis,HP_0004443
Elevated copper levels in urine,Increased urinary copper concentration,HP_0010839
High urinary copper content,Increased urinary copper concentration,HP_0010839
Raised copper concentration in urine,Increased urinary copper concentration,HP_0010839
Excessive copper in urine,Increased urinary copper concentration,HP_0010839
Abnormally high urinary copper levels,Increased urinary copper concentration,HP_0010839
Notched incisors,Serrated incisors,HP_0034270
Scalloped incisors,Serrated incisors,HP_0034270
Jagged incisors,Serrated incisors,HP_0034270
Grooved incisors,Serrated incisors,HP_0034270
Rough-edged incisors,Serrated incisors,HP_0034270
Elevated Xanthine Levels,Hyperxanthinemia,HP_0010933
High Xanthine in Blood,Hyperxanthinemia,HP_0010933
Increased Xanthine Concentration,Hyperxanthinemia,HP_0010933
Abnormally High Xanthine,Hyperxanthinemia,HP_0010933
Excessive Xanthine in Bloodstream,Hyperxanthinemia,HP_0010933
Intermittent sclerosis of third toe phalanx,Patchy sclerosis of 3rd toe phalanx,HP_0010364
Irregular hardening of 3rd toe bone,Patchy sclerosis of 3rd toe phalanx,HP_0010364
Uneven sclerosis of third toe phalanx,Patchy sclerosis of 3rd toe phalanx,HP_0010364
Sporadic hardening of 3rd toe phalanx,Patchy sclerosis of 3rd toe phalanx,HP_0010364
Patchy hardening of third toe bone,Patchy sclerosis of 3rd toe phalanx,HP_0010364
Incomplete foot,Partial absence of foot,HP_0030032
Partial foot absence,Partial absence of foot,HP_0030032
Partial foot loss,Partial absence of foot,HP_0030032
Incomplete development of foot,Partial absence of foot,HP_0030032
Partial foot deficiency,Partial absence of foot,HP_0030032
Disrupted sleep pattern,Abnormal sleep architecture,HP_5200298
Irregular sleep structure,Abnormal sleep architecture,HP_5200298
Disturbed sleep architecture,Abnormal sleep architecture,HP_5200298
Unusual sleep pattern,Abnormal sleep architecture,HP_5200298
Atypical sleep structure,Abnormal sleep architecture,HP_5200298
Cortical radial artery inner/outer layer liquefactive cell death,Cortical radial artery intima/media liquefactive necrosis,HP_0033936
Liquefactive necrosis in cortical radial artery intima/media,Cortical radial artery intima/media liquefactive necrosis,HP_0033936
Cortical radial artery intima/media softening necrosis,Cortical radial artery intima/media liquefactive necrosis,HP_0033936
Cortical radial artery intima/media liquid necrosis,Cortical radial artery intima/media liquefactive necrosis,HP_0033936
Cortical radial artery intima/media dissolution necrosis,Cortical radial artery intima/media liquefactive necrosis,HP_0033936
Underdeveloped spinal processes,Hypoplastic spinal processes,HP_0008460
Inadequate development of spinal processes,Hypoplastic spinal processes,HP_0008460
Spinal processes hypoplasia,Hypoplastic spinal processes,HP_0008460
Insufficiently developed spinal processes,Hypoplastic spinal processes,HP_0008460
Spinal processes underdevelopment,Hypoplastic spinal processes,HP_0008460
Purple rash,Heliotrope rash,HP_0040324
Violet rash,Heliotrope rash,HP_0040324
Heliotrope erythema,Heliotrope rash,HP_0040324
Heliotropic rash,Heliotrope rash,HP_0040324
Lilac rash,Heliotrope rash,HP_0040324
Double uterus,Uterus didelphys,HP_0003762
Didelphic uterus,Uterus didelphys,HP_0003762
Bicornuate uterus,Uterus didelphys,HP_0003762
Duplex uterus,Uterus didelphys,HP_0003762
Bifid uterus,Uterus didelphys,HP_0003762
Bovine milk hypersensitivity,Cow milk allergy,HP_0100327
Dairy allergy,Cow milk allergy,HP_0100327
Allergy to cow's milk,Cow milk allergy,HP_0100327
Milk protein allergy,Cow milk allergy,HP_0100327
Lactose intolerance,Cow milk allergy,HP_0100327
